raw_user_id,seed,uniform NDCG@20,past-only NDCG@20,diff
AE2252DKW4XJIZP5QPFMQVJBVRTA,42,0,0,0
AE225QQMKEUWU4FZJU5MYVVHRGBQ,42,0,0,0
AE227DO4V4EGIIGVCCKI5V47ZOAA,42,0,0,0
AE22ERAW3N4ZSEHBOFG3Q52RFOAQ,42,0,0,0
AE22ETQCO52U5A7URQ4KVAIBP7WA,42,0,0,0
AE22I6NMNL2XCYSKATRJ7Z6OZ6OQ,42,0,0,0
AE22MEO6CN6Q4TPAEAUIOMTSNLCQ,42,0,0,0
AE22ROVSXEBTQR3P74MUNSRFPZZQ,42,0.16104283,0,-0.16104283
AE22ZYH6WIY6WJHJRWOMPQCDJHHA,42,0,0,0
AE233NGXCQ3JJQU7TQFFIXJDFQHQ,42,0,0,0
AE234EYNOX2JZGEFTHWO6XNNBTGA,42,0,0,0
AE2354O5OHFEFYH6IL7KWZOBG3EA,42,0,0,0
AE2367XAGNU2VHR4DYH5TRMBU2OA,42,0,0,0
AE23EQGOGCK5RLQ7F52Z2FS4KJFA,42,0,0,0
AE23IB5TIHEXKMKX7K47P5GUKABA,42,0,0,0
AE23JYHGEN3D35CHE5OQQYJOW5RA,42,0,0,0
AE23LGVYIHAECX2U5FKT4XS6DTBA,42,0,0,0
AE23RT5M2RLPZBYKKRV2LIDQJ7AA,42,0,0,0
AE23T3TNETAGHAWIDPRQGRMVLSRA,42,0,0,0
AE243F62EDNKCLCKCKMYMPAAVHKA,42,0,0,0
AE24535QJ4BTA5XMJU55FUIMFBAQ,42,0,0,0
AE246N4VJWMUVEVZ5FYWJHENGPLQ,42,0,0,0
AE24AP4G6YYZYCHGRN4DBSG3M3NQ,42,0,0,0
AE24EI22R6U26Q7ZDZEJ5AOCVUVQ,42,0,0,0
AE24J5HKPC7GM56SA2CW2HGF3YXQ,42,0,0,0
AE24LAOTNZT43FU5MW3C3WRIQKIA,42,0,0,0
AE24NIZHDAPIDQWYKCBPFUBNXH5Q,42,0,0,0
AE24PGKOXDPI2NDEKVRB2GGWUNOA,42,0,0,0
AE24RZM7C7UKBBXVG2L6WEM3CCAA,42,0,0,0
AE24SLQS6CBHXFB6B4B6HESJSUDA,42,0,0,0
AE24UXOBYIV4KKDTR776T3Y4QFIQ,42,0,0,0
AE24YY343UG7NDO6UCNKUW2IPYSQ,42,0,0,0
AE24ZBU635T6J7DVXOMVNI73F7LA,42,0,0,0
AE2532U7F7HJS6RX6PDRZXV5EZ2Q,42,0,0,0
AE2545UNSQUB2X3NIBCS5UPEP5GQ,42,0,0,0
AE25DZNJUA4LF4CLKKF4QPT4FGTQ,42,0,0,0
AE25LOB7DTLXFHTM64J6YC2SCV6A,42,0,0,0
AE25PUBJL4ZLUGVT6IVTVHIY2KDA,42,0,0,0
AE264CGBZRTVFNMWWHPFKBTKNUKQ,42,0,0,0
AE26ACRB3FRFTAK44HF6WMYHCHRA,42,0,0,0
AE26B2HJR4YYCOKPPGSGSZO5YP3Q,42,0,0,0
AE26I53R43QMYCZSTBU4AOFRKB6A,42,0,0,0
AE26ITHT7ZKBA3IL2BISEPNVIOAA,42,0,0,0
AE26JCKMEYSM37AZX2IGYSM2JK3Q,42,0,0,0
AE26N5BRXPJ6PH2RXRAZFSMUJ2HQ,42,0,0,0
AE26NIV2SNNC45AJVPR7RSEKDT4A,42,0,0,0
AE26NL22WQS34WXOI65TWMLI4Q7Q,42,0,0,0
AE26QWXI2OZ4KCJPKNB6YZTNBR5Q,42,0,0,0
